"type of insurance company","investment assets","quarter","Investment assets of Swedish insurance companies, stock values, MSEK"
"Life insurance companies","1. Cash at bank and in hand","2007K3",29690
"Life insurance companies","1. Cash at bank and in hand","2007K4",35045
"Life insurance companies","1. Cash at bank and in hand","2008K1",42981
"Life insurance companies","1. Cash at bank and in hand","2008K2",30477
"Life insurance companies","1. Cash at bank and in hand","2008K3",35902
"Life insurance companies","1. Cash at bank and in hand","2008K4",59090
"Life insurance companies","1. Cash at bank and in hand","2009K1",53613
"Life insurance companies","1. Cash at bank and in hand","2009K2",44755
"Life insurance companies","1. Cash at bank and in hand","2009K3",42767
"Life insurance companies","1. Cash at bank and in hand","2009K4",45730
"Life insurance companies","1. Cash at bank and in hand","2010K1",60785
"Life insurance companies","1. Cash at bank and in hand","2010K2",56548
"Life insurance companies","1. Cash at bank and in hand","2010K3",56691
"Life insurance companies","1. Cash at bank and in hand","2010K4",49368
"Life insurance companies","1. Cash at bank and in hand","2011K1",54626
"Life insurance companies","1. Cash at bank and in hand","2011K2",60785
"Life insurance companies","1. Cash at bank and in hand","2011K3",70606
"Life insurance companies","1. Cash at bank and in hand","2011K4",67569
"Life insurance companies","1. Cash at bank and in hand","2012K1",73206
"Life insurance companies","1. Cash at bank and in hand","2012K2",69151
"Life insurance companies","1. Cash at bank and in hand","2012K3",59002
"Life insurance companies","1. Cash at bank and in hand","2012K4",58358
"Life insurance companies","1. Cash at bank and in hand","2013K1",64619
"Life insurance companies","1. Cash at bank and in hand","2013K2",45254
"Life insurance companies","1. Cash at bank and in hand","2013K3",49184
"Life insurance companies","1. Cash at bank and in hand","2013K4",61295
"Life insurance companies","1. Cash at bank and in hand","2014K1",72604
"Life insurance companies","1. Cash at bank and in hand","2014K2",60098
"Life insurance companies","1. Cash at bank and in hand","2014K3",62981
"Life insurance companies","1. Cash at bank and in hand","2014K4",65657
"Life insurance companies","1. Cash at bank and in hand","2015K1",85270
"Life insurance companies","1. Cash at bank and in hand","2015K2",73050
"Life insurance companies","1. Cash at bank and in hand","2015K3",65457
"Life insurance companies","1. Cash at bank and in hand","2015K4",69057
"Life insurance companies","1. Cash at bank and in hand","2016K1",87911
"Life insurance companies","1. Cash at bank and in hand","2016K2",66348
"Life insurance companies","1. Cash at bank and in hand","2016K3",65716
"Life insurance companies","1. Cash at bank and in hand","2016K4",65214
"Life insurance companies","1. Cash at bank and in hand","2017K1",84012
"Life insurance companies","1. Cash at bank and in hand","2017K2",76124
"Life insurance companies","1. Cash at bank and in hand","2017K3",71519
"Life insurance companies","1. Cash at bank and in hand","2017K4",67375
"Life insurance companies","1. Cash at bank and in hand","2018K1",85388
"Life insurance companies","1. Cash at bank and in hand","2018K2",76577
"Life insurance companies","1. Cash at bank and in hand","2018K3",72971
"Life insurance companies","1. Cash at bank and in hand","2018K4",76632
"Life insurance companies","1. Cash at bank and in hand","2019K1",91873
"Life insurance companies","1. Cash at bank and in hand","2019K2",76039
"Life insurance companies","1. Cash at bank and in hand","2019K3",69154
