TypForetag,Placeringstillgangar,ContentsCode,Tid,value
Total,1. Cash at bank and in hand,"Stock values, MSEK",2024K1,147357
Total,1. Cash at bank and in hand,"Stock values, MSEK",2024K2,152744
Total,1.1 Swedish banks,"Stock values, MSEK",2024K1,125238
Total,1.1 Swedish banks,"Stock values, MSEK",2024K2,129127
Total,1.2 Foreign banks,"Stock values, MSEK",2024K1,22118
Total,1.2 Foreign banks,"Stock values, MSEK",2024K2,23617
Total,2. Money market instruments,"Stock values, MSEK",2024K1,100985
Total,2. Money market instruments,"Stock values, MSEK",2024K2,74312
Total,2.1 Issued in SEK,"Stock values, MSEK",2024K1,98599
Total,2.1 Issued in SEK,"Stock values, MSEK",2024K2,73290
Total,2.2 Issued in foreign currency,"Stock values, MSEK",2024K1,2386
Total,2.2 Issued in foreign currency,"Stock values, MSEK",2024K2,1022
Total,2.3 Issued by Swedish borrowers,"Stock values, MSEK",2024K1,97316
Total,2.3 Issued by Swedish borrowers,"Stock values, MSEK",2024K2,72983
Total,2.3.1 Government,"Stock values, MSEK",2024K1,26307
Total,2.3.1 Government,"Stock values, MSEK",2024K2,24910
Total,2.3.2 Municipalities and regions,"Stock values, MSEK",2024K1,0
Total,2.3.2 Municipalities and regions,"Stock values, MSEK",2024K2,0
Total,2.3.3 Banks (MFI),"Stock values, MSEK",2024K1,351
Total,2.3.3 Banks (MFI),"Stock values, MSEK",2024K2,0
Total,2.3.4 Housing credit institutions (MFI),"Stock values, MSEK",2024K1,76
Total,2.3.4 Housing credit institutions (MFI),"Stock values, MSEK",2024K2,62
Total,2.3.5 Other MFI,"Stock values, MSEK",2024K1,63000
Total,2.3.5 Other MFI,"Stock values, MSEK",2024K2,41996
Total,2.3.6 Financial institutions (non-MFI),"Stock values, MSEK",2024K1,4
Total,2.3.6 Financial institutions (non-MFI),"Stock values, MSEK",2024K2,0
Total,2.3.7 Non-financial enterprises,"Stock values, MSEK",2024K1,7501
Total,2.3.7 Non-financial enterprises,"Stock values, MSEK",2024K2,5902
Total,2.3.8 Other Swedish borrowers,"Stock values, MSEK",2024K1,78
Total,2.3.8 Other Swedish borrowers,"Stock values, MSEK",2024K2,112
Total,2.4 Issued by foreign borrowers,"Stock values, MSEK",2024K1,3658
Total,2.4 Issued by foreign borrowers,"Stock values, MSEK",2024K2,1318
Total,3. Bonds,"Stock values, MSEK",2024K1,1450963
Total,3. Bonds,"Stock values, MSEK",2024K2,1491564
Total,3.1 Issued in SEK,"Stock values, MSEK",2024K1,1065661
Total,3.1 Issued in SEK,"Stock values, MSEK",2024K2,1089116
Total,3.2 Issued in foreign currency,"Stock values, MSEK",2024K1,385302
Total,3.2 Issued in foreign currency,"Stock values, MSEK",2024K2,402448
Total,3.2.1   of which index-linked notes,"Stock values, MSEK",2024K1,9383
Total,3.2.1   of which index-linked notes,"Stock values, MSEK",2024K2,9518
Total,3.3 Issued by Swedish borrowers,"Stock values, MSEK",2024K1,943886
